ID,착과량(int)
TEST_0000,332.75
TEST_0001,752.01
TEST_0002,103.86
TEST_0003,440.93
TEST_0004,704.18
TEST_0005,332.92
TEST_0006,40.5
TEST_0007,37.82
TEST_0008,352.5
TEST_0009,210.75
TEST_0010,557.49
TEST_0011,763.14
TEST_0012,453.86
TEST_0013,386.51
TEST_0014,113.35
TEST_0015,92.01
TEST_0016,416.15
TEST_0017,393.35
TEST_0018,279.57
TEST_0019,616.95
TEST_0020,285.56
TEST_0021,306.5
TEST_0022,424.56
TEST_0023,257.19
TEST_0024,178.21
TEST_0025,636.7
TEST_0026,80.9
TEST_0027,754.56
TEST_0028,599.21
TEST_0029,431.69
TEST_0030,54.32
TEST_0031,603.82
TEST_0032,669.82
TEST_0033,571.75
TEST_0034,571.06
TEST_0035,355.07
TEST_0036,248.14
TEST_0037,646.71
TEST_0038,44.04
TEST_0039,453.5
TEST_0040,405.23
TEST_0041,129.07
TEST_0042,747.17
TEST_0043,122.79
TEST_0044,590.55
TEST_0045,342.63
TEST_0046,747.6
TEST_0047,446.06
TEST_0048,368.95
TEST_0049,432.92
TEST_0050,556.05
TEST_0051,717.92
TEST_0052,438.79
TEST_0053,546.11
TEST_0054,399.9
TEST_0055,162.13
TEST_0056,749.56
TEST_0057,534.31
TEST_0058,565.27
TEST_0059,540.22
TEST_0060,438.6
TEST_0061,83.19
TEST_0062,521.98
TEST_0063,313.27
TEST_0064,538.67
TEST_0065,327.93
TEST_0066,369.18
TEST_0067,430.34
TEST_0068,212.38
TEST_0069,709.58
TEST_0070,679.22
TEST_0071,651.72
TEST_0072,612.9
TEST_0073,301.5
TEST_0074,202.74
TEST_0075,251.86
TEST_0076,135.79
TEST_0077,708.65
TEST_0078,748.45
TEST_0079,320.69
TEST_0080,242.49
TEST_0081,51.09
TEST_0082,65.93
TEST_0083,657.93
TEST_0084,653.93
TEST_0085,457.55
TEST_0086,258.98
TEST_0087,368.3
TEST_0088,143.44
TEST_0089,220.08
TEST_0090,30.6
TEST_0091,370.35
TEST_0092,504.61
TEST_0093,527.37
TEST_0094,523.38
TEST_0095,353.03
TEST_0096,243.16
TEST_0097,295.96
TEST_0098,209.91
TEST_0099,642.2
TEST_0100,705.36
TEST_0101,242.36
TEST_0102,449.46
TEST_0103,591.71
TEST_0104,202.88
TEST_0105,749.32
TEST_0106,133.54
TEST_0107,73.46
TEST_0108,455.64
TEST_0109,329.29
TEST_0110,647.91
TEST_0111,347.56
TEST_0112,551.35
TEST_0113,511.34
TEST_0114,654.19
TEST_0115,160.35
TEST_0116,729.49
TEST_0117,626.29
TEST_0118,279.97
TEST_0119,513.37
TEST_0120,169.28
TEST_0121,454.16
TEST_0122,318.54
TEST_0123,447.6
TEST_0124,700.93
TEST_0125,556.27
TEST_0126,299.94
TEST_0127,550.32
TEST_0128,543.01
TEST_0129,356.3
TEST_0130,92.86
TEST_0131,237.37
TEST_0132,457.77
TEST_0133,345.72
TEST_0134,141.25
TEST_0135,275.07
TEST_0136,722.51
TEST_0137,340.98
TEST_0138,110.15
TEST_0139,555.19
TEST_0140,755.8
TEST_0141,733.72
TEST_0142,253.22
TEST_0143,441.09
TEST_0144,25.9
TEST_0145,617.09
TEST_0146,257.04
TEST_0147,249.82
TEST_0148,78.35
TEST_0149,461.2
TEST_0150,654.27
TEST_0151,648.43
TEST_0152,742.31
TEST_0153,247.92
TEST_0154,519.48
TEST_0155,743.07
TEST_0156,527.18
TEST_0157,305.2
TEST_0158,168.17
TEST_0159,282.44
TEST_0160,481.18
TEST_0161,252.82
TEST_0162,241.96
TEST_0163,28.5
TEST_0164,533.36
TEST_0165,556.44
TEST_0166,603.36
TEST_0167,659.81
TEST_0168,552.07
TEST_0169,364.09
TEST_0170,666.33
TEST_0171,513.65
TEST_0172,429.17
TEST_0173,319.3
TEST_0174,753.1
TEST_0175,128.5
TEST_0176,205.37
TEST_0177,381.4
TEST_0178,144.57
TEST_0179,336.63
TEST_0180,272.36
TEST_0181,352.53
TEST_0182,459.76
TEST_0183,234.32
TEST_0184,759.14
TEST_0185,537.19
TEST_0186,292.34
TEST_0187,713.19
TEST_0188,662.31
TEST_0189,286.2
TEST_0190,652.38
TEST_0191,159.74
TEST_0192,443.28
TEST_0193,636.46
TEST_0194,643.46
TEST_0195,750.05
TEST_0196,199.26
TEST_0197,167.64
TEST_0198,261.45
TEST_0199,19.51
TEST_0200,98.29
TEST_0201,317.78
TEST_0202,263.13
TEST_0203,150.63
TEST_0204,432.93
TEST_0205,339.29
TEST_0206,67.34
TEST_0207,346.1
TEST_0208,246.71
TEST_0209,461.39
TEST_0210,400.65
TEST_0211,175.71
TEST_0212,285.21
TEST_0213,596.74
TEST_0214,321.52
TEST_0215,42.74
TEST_0216,727.13
TEST_0217,178.69
TEST_0218,465.97
TEST_0219,450.61
TEST_0220,179.09
TEST_0221,365.12
TEST_0222,620.97
TEST_0223,151.53
TEST_0224,571.08
TEST_0225,418.88
TEST_0226,529.85
TEST_0227,61.33
TEST_0228,632.8
TEST_0229,335.73
TEST_0230,438.97
TEST_0231,637.44
TEST_0232,476.08
TEST_0233,159.83
TEST_0234,335.66
TEST_0235,422.29
TEST_0236,372.61
TEST_0237,361.85
TEST_0238,126.71
TEST_0239,622.88
TEST_0240,624.44
TEST_0241,318.24
TEST_0242,318.02
TEST_0243,259.67
TEST_0244,649.3
TEST_0245,263.24
TEST_0246,310.42
TEST_0247,479.62
TEST_0248,580.98
TEST_0249,693.31
TEST_0250,278.35
TEST_0251,32.81
TEST_0252,653.23
TEST_0253,345.13
TEST_0254,125.2
TEST_0255,383.11
TEST_0256,240.03
TEST_0257,285.19
TEST_0258,209.62
TEST_0259,26.28
TEST_0260,492.21
TEST_0261,144.91
TEST_0262,358.79
TEST_0263,280.15
TEST_0264,82.68
TEST_0265,153.25
TEST_0266,411.28
TEST_0267,608.98
TEST_0268,550.01
TEST_0269,538.01
TEST_0270,282.85
TEST_0271,361.89
TEST_0272,412.33
TEST_0273,738.52
TEST_0274,31.63
TEST_0275,68.38
TEST_0276,325.77
TEST_0277,56.15
TEST_0278,251.46
TEST_0279,38.05
TEST_0280,574.41
TEST_0281,237.06
TEST_0282,50.83
TEST_0283,173.96
TEST_0284,742.96
TEST_0285,664.22
TEST_0286,41.98
TEST_0287,729.65
TEST_0288,593.3
TEST_0289,336.77
TEST_0290,588.74
TEST_0291,240.05
TEST_0292,756.53
TEST_0293,601.49
TEST_0294,428.28
TEST_0295,503.05
TEST_0296,677.37
TEST_0297,186.61
TEST_0298,214.42
TEST_0299,266.32
TEST_0300,301.99
TEST_0301,702.92
TEST_0302,165.69
TEST_0303,407.87
TEST_0304,498.18
TEST_0305,456.95
TEST_0306,58.51
TEST_0307,595.05
TEST_0308,755.07
TEST_0309,246.67
TEST_0310,53.74
TEST_0311,631.85
TEST_0312,416.13
TEST_0313,314.91
TEST_0314,720.65
TEST_0315,363.14
TEST_0316,442.4
TEST_0317,78.62
TEST_0318,412.56
TEST_0319,703.33
TEST_0320,201.19
TEST_0321,289.93
TEST_0322,553.41
TEST_0323,212.86
TEST_0324,270.84
TEST_0325,627.22
TEST_0326,81.12
TEST_0327,558.65
TEST_0328,652.48
TEST_0329,285.53
TEST_0330,641.9
TEST_0331,67.31
TEST_0332,306.04
TEST_0333,327.55
TEST_0334,308.47
TEST_0335,133.55
TEST_0336,28.93
TEST_0337,406.64
TEST_0338,253.11
TEST_0339,262.46
TEST_0340,766.92
TEST_0341,236.21
TEST_0342,50.98
TEST_0343,251.7
TEST_0344,535.95
TEST_0345,434.72
TEST_0346,151.12
TEST_0347,343.01
TEST_0348,74.26
TEST_0349,625.29
TEST_0350,666.32
TEST_0351,482.49
TEST_0352,460.01
TEST_0353,419.09
TEST_0354,79.93
TEST_0355,155.21
TEST_0356,441.09
TEST_0357,601.69
TEST_0358,236.78
TEST_0359,398.83
TEST_0360,233.32
TEST_0361,173.16
TEST_0362,392.24
TEST_0363,161.81
TEST_0364,294.64
TEST_0365,631.44
TEST_0366,282.85
TEST_0367,674.35
TEST_0368,243.92
TEST_0369,217.11
TEST_0370,420.65
