ID,착과량(int)
TEST_0000,365.00934
TEST_0001,747.9306
TEST_0002,118.35336
TEST_0003,447.61014
TEST_0004,699.20325
TEST_0005,314.08237
TEST_0006,64.64935
TEST_0007,24.825983
TEST_0008,331.98706
TEST_0009,202.62354
TEST_0010,539.34827
TEST_0011,763.4815
TEST_0012,426.4216
TEST_0013,374.6579
TEST_0014,60.98999
TEST_0015,57.033012
TEST_0016,399.03732
TEST_0017,391.3625
TEST_0018,277.53458
TEST_0019,597.7344
TEST_0020,250.05746
TEST_0021,299.42926
TEST_0022,445.45044
TEST_0023,253.85112
TEST_0024,178.71976
TEST_0025,622.82153
TEST_0026,114.15693
TEST_0027,749.8369
TEST_0028,578.9327
TEST_0029,417.13446
TEST_0030,64.21304
TEST_0031,593.6154
TEST_0032,649.3608
TEST_0033,572.9999
TEST_0034,566.3377
TEST_0035,383.38983
TEST_0036,217.3992
TEST_0037,638.21625
TEST_0038,64.18311
TEST_0039,403.10934
TEST_0040,402.07053
TEST_0041,101.87629
TEST_0042,721.28296
TEST_0043,123.717224
TEST_0044,599.3025
TEST_0045,363.77097
TEST_0046,743.6091
TEST_0047,446.75742
TEST_0048,373.36646
TEST_0049,451.0813
TEST_0050,599.5247
TEST_0051,732.13214
TEST_0052,432.38416
TEST_0053,518.98956
TEST_0054,377.89282
TEST_0055,192.2317
TEST_0056,760.58203
TEST_0057,532.1731
TEST_0058,595.5256
TEST_0059,554.491
TEST_0060,429.8
TEST_0061,56.2964
TEST_0062,482.19772
TEST_0063,295.6062
TEST_0064,553.0904
TEST_0065,313.41122
TEST_0066,322.49792
TEST_0067,443.20038
TEST_0068,211.42188
TEST_0069,720.5296
TEST_0070,672.1543
TEST_0071,646.44324
TEST_0072,633.1043
TEST_0073,292.7379
TEST_0074,223.81642
TEST_0075,258.2775
TEST_0076,152.50641
TEST_0077,709.97485
TEST_0078,761.422
TEST_0079,317.54294
TEST_0080,226.78339
TEST_0081,55.184998
TEST_0082,119.83962
TEST_0083,636.57117
TEST_0084,631.85657
TEST_0085,471.54004
TEST_0086,263.0726
TEST_0087,377.4852
TEST_0088,126.601845
TEST_0089,232.13893
TEST_0090,17.083233
TEST_0091,352.03354
TEST_0092,483.33383
TEST_0093,519.8132
TEST_0094,477.23856
TEST_0095,302.93607
TEST_0096,266.44205
TEST_0097,324.31604
TEST_0098,218.33968
TEST_0099,623.7301
TEST_0100,702.14935
TEST_0101,236.8228
TEST_0102,450.32953
TEST_0103,597.5812
TEST_0104,204.86893
TEST_0105,753.8229
TEST_0106,145.17111
TEST_0107,53.120487
TEST_0108,471.94876
TEST_0109,285.62585
TEST_0110,621.87506
TEST_0111,311.26526
TEST_0112,529.2136
TEST_0113,529.4641
